"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"FIII","Forum Merger III Corporation - Class A","09/21/2020","$300,915,213","N","0.00","1.11","1.20","0.00","25,741,250","514,996","2.00%","Analyze"
"CCIV","Churchill Capital Corp IV Class A","09/18/2020","$2,543,512,500","N","0.00","1.01","1.01","0.00","258,750,000","643,540","0.25%","Analyze"
"ETAC","E.Merge Technology Acquisition Corp. - Class A","09/18/2020","$754,380,000","N","0.00","1.02","1.02","0.00","76,200,000","236,275","0.31%","Analyze"
"ACEV","ACE Convergence Acquisition Corp. - Class A","09/17/2020","$283,187,500","N","0.00","1.01","1.01","0.00","28,750,000","72,449","0.25%","Analyze"
"DFHT","Deerfield Healthcare Technology Acquisitions Corp. - Class A","09/16/2020","$185,976,563","N","0.00","1.01","1.00","0.00","17,968,750","21,022","0.12%","Analyze"
"ACND","Ascendant Digital Acquisition Corp. Class A","09/14/2020","$510,772,500","N","0.00","1.00","1.00","0.00","51,750,000","55,129","0.11%","Analyze"
"ERES","East Resources Acquisition Company - Class A","09/14/2020","$426,075,000","N","0.00","1.01","1.01","0.00","43,125,000","120,239","0.28%","Analyze"
"PSTH","Pershing Square Tontine Holdings, Ltd. Class A","09/11/2020","$5,000,002,500","N","0.00","1.04","1.09","0.00","200,000,100","1,168,836","0.58%","Analyze"
"HPX","HPX Corp. Class A","09/08/2020","$248,446,000","N","0.00","1.01","1.00","0.00","25,300,000","59,267","0.23%","Analyze"
"AACQ","Artius Acquisition Inc. - Class A","09/04/2020","$901,096,875","N","0.00","1.01","1.03","0.00","90,562,500","185,489","0.20%","Analyze"
"DEH","D8 Holdings Corp. Class A","09/04/2020","$338,100,000","N","0.00","1.01","1.01","0.00","43,125,000","40,269","0.09%","Analyze"
"BCTG","BCTG Acquisition Corp.","09/03/2020","$233,012,025","N","0.00","1.05","1.10","0.00","21,377,250","7,564","0.04%","Analyze"
"PSAC","Property Solutions Acquisition Corp.","08/28/2020","$289,556,973","N","0.00","1.01","1.01","0.00","29,516,511","60,493","0.20%","Analyze"
"GRCY","Greencity Acquisition Corporation","08/28/2020","$52,126,600","N","1.04","1.00","1.00","1.31","5,260,000","4,742","0.09%","Analyze"
"MCAC","Mountain Crest Acquisition Corp.","08/27/2020","$76,028,299","Y","0.00","1.00","1.00","0.00","7,542,490","53,094","0.70%","Analyze"
"CPSR","Capstar Special Purpose Acquisition Corp. Class A","08/24/2020","$340,170,000","N","0.00","1.01","1.01","0.00","34,500,000","59,445","0.17%","Analyze"
"VMAC","Vistas Media Acquisition Company Inc. - Class A","08/21/2020","$125,980,780","N","0.00","1.00","1.00","0.00","12,829,000","38,104","0.30%","Analyze"
"PANA","Panacea Acquisition Corp. Class A","08/21/2020","$4,545,000","N","0.00","1.00","0.96","0.00","450,000","101,810","22.62%","Analyze"
"KCAC","Kensington Capital Acquisition Corp. Class A","08/17/2020","$675,625,000","Y","0.00","1.20","1.55","0.00","28,750,000","2,107,427","7.33%","Analyze"
"FUSE","Fusion Acquisition Corp. Class A","08/14/2020","$349,300,000","N","0.00","1.01","1.02","0.00","35,000,000","188,291","0.54%","Analyze"
"FSDC","FS Development Corp. - Class A","08/12/2020","$156,906,025","Y","0.00","0.99","0.97","0.00","15,535,250","59,618","0.38%","Analyze"
"TREB","Trebia Acquisition Corp. Class A","08/07/2020","$647,521,875","N","0.00","1.01","0.99","0.00","64,687,500","49,980","0.08%","Analyze"
"RACA","Therapeutics Acquisition Corp. - Class A","08/07/2020","$245,817,990","N","0.00","0.99","1.05","0.00","17,433,900","12,182","0.07%","Analyze"
"MLAC","Malacca Straits Acquisition Company Limited - Class A","08/06/2020","$175,554,688","N","0.00","1.00","1.01","0.00","17,968,750","13,369","0.07%","Analyze"
"HSAQ","Health Sciences Acquisitions Corporation 2","08/04/2020","$229,175,002","N","0.00","1.02","1.04","0.00","19,928,261","15,103","0.08%","Analyze"
"HEC","Hudson Executive Investment Corp. - Class A","07/30/2020","$512,325,000","N","0.00","1.02","1.03","0.00","51,750,000","165,768","0.32%","Analyze"
"BRLI","Brilliant Acquisition Corporation","07/22/2020","$60,010,020","N","1.52","1.00","1.00","0.18","6,111,000","28,182","0.46%","Analyze"
"WPF","Foley Trasimene Acquisition Corp. Class A","07/17/2020","$1,052,595,000","N","0.00","1.01","0.99","0.00","103,500,000","166,023","0.16%","Analyze"
"LGVW","Longview Acquisition Corp. Class A","07/13/2020","$856,462,500","N","0.00","1.32","1.63","0.00","51,750,000","3,689,912","7.13%","Analyze"
