"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"NPA","New Providence Acquisition Corp. - Class A","11/01/2019","$290,950,000","N","1.04","1.00","1.02","1.04","23,000,000","33,324","0.14%","Analyze"
"THBR","Thunder Bridge Acquisition II, Ltd. - Class A","10/04/2019","$441,600,000","N","1.04","1.01","1.01","1.05","34,500,000","40,277","0.12%","Analyze"
"SSPK","Silver Spike Acquisition Corp. - Class A","10/01/2019","$320,937,500","N","1.04","1.01","1.02","1.05","25,000,000","38,732","0.15%","Analyze"
"SBE","Switchback Energy Acquisition Corporation Class A","09/16/2019","$1,457,907,259","Y","1.04","1.39","3.08","3.82","31,412,000","6,438,531","20.50%","Analyze"
"OAC","Oaktree Acquisition Corp. Class A","09/09/2019","$262,882,812","Y","1.05","1.02","1.02","1.08","20,125,000","171,094","0.85%","Analyze"
"SCPE","SC Health Corporation Class A","09/03/2019","$231,546,875","N","1.04","1.00","1.01","1.04","17,250,000","102,648","0.60%","Analyze"
"GSMG","Glory Star New Media Group Holdings Limited","08/21/2019","$149,506,364","N","1.33","0.98","0.78","2.02","56,205,400","89,586","0.16%","Analyze"
"TRIT","Triterras, Inc. - Class A","08/14/2019","$1,069,774,755","N","0.00","1.00","1.15","0.00","25,981,000","702,879","2.71%","Analyze"
"THCA","Tuscan Holdings Corp. II","07/30/2019","$226,471,250","N","1.00","1.02","1.04","1.29","21,987,500","12,791","0.06%","Analyze"
"SMMC","South Mountain Merger Corp. - Class A","07/29/2019","$394,062,500","Y","1.03","1.02","1.22","1.28","25,000,000","449,380","1.80%","Analyze"
"GXGX","GX Acquisiton Corp. - Class A","07/15/2019","$376,265,625","N","1.04","1.01","1.03","1.07","28,750,000","92,449","0.32%","Analyze"
"AGBA","AGBA Acquisition Limited","07/15/2019","$62,737,500","N","1.05","1.02","1.03","1.37","5,975,000","19,861","0.33%","Analyze"
"GIX^","GigCapital2, Inc. Rights, each exchangeable into one-twentieth of a share of","06/06/2019","$0","N","0.00","1.37","0.45","0.00","22,245,000","58,759","0.26%","Analyze"
